TARGET_ATTRIBUTE_ID,SOURCE_NAME,ATTRIBUTE_NAME,URL,MULTIPLE,VALUE,predicate_name,test,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/59,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/92,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/78,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/99,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/10,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/155,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/21,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/12,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/109,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/138,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/95,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/150,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.shopmania.in,af illuminator,http:///www.shopmania.in/1341,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.shopmania.in,af illuminator,http:///www.shopmania.in/1454,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.shopmania.in,af illuminator,http:///www.shopmania.in/926,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.shopmania.in,af illuminator,http:///www.shopmania.in/1188,FALSE,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.shopmania.in,af illuminator,http:///www.shopmania.in/1660,FALSE,yes,auto_focus_beam,,,
