TARGET_ATTRIBUTE_ID,SOURCE_NAME,ATTRIBUTE_NAME,URL,MULTIPLE,VALUE,predicate_name,test,,,
TARGETATTRIBUTE#1,www.canon-europe.com,af assist beam,http:///www.canon-europe.com/59,False,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.shopmania.in,af illuminator,http:///www.shopmania.in/1341,False,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.ilgs.net,auto focus af assist beam,http:///www.ilgs.net/7,False,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.cambuy.com.au,af assist beam,http:///www.cambuy.com.au/22,False,yes,auto_focus_beam,,,
TARGETATTRIBUTE#1,www.cambuy.com.au,af assist lamp,http:///www.cambuy.com.au/5,False,yes (on / off),auto_focus_beam,,,
TARGETATTRIBUTE#2,www.cambuy.com.au,focusarea selection,http:///www.cambuy.com.au/128,True,"center, face detection",auto_focus_mode,OK,,
TARGETATTRIBUTE#2,www.cambuy.com.au,autofocus,http:///www.cambuy.com.au/114,True,contrast-detect af anywhere in frame (camera selects focus point automatically when face-priority af or subject-tracking af is selected),auto_focus_mode,OK,,
TARGETATTRIBUTE#3,www.cambuy.com.au,autofocus,http:///www.cambuy.com.au/36,True,"contrast-detect af anywhere in frame (camera selects focus point automatically when face-priority af or subject-tracking af is selected)|nikon multi-cam 1000 autofocus sensor module with ttl phase detection, 11 focus points (including one cross-type sensor), and af-assist illuminator (range approx. 0.5-3 m/1 ft 8 in.-9 ft 10 in.)",auto_focus_points,focus points,,
TARGETATTRIBUTE#3,www.cambuy.com.au,focusarea selection,http:///www.cambuy.com.au/105,True,"face priority, auto (9-area automatic selection), center (wide, normal), manual with 99 focus areas, subject tracking, target finding af",auto_focus_points,focus areas,,
TARGETATTRIBUTE#4,www.cambuy.com.au,batteries,http:///www.cambuy.com.au/103,True,1 x rechargeable li-ion battery lp-e10,battery_chemistry,li-ion,,
TARGETATTRIBUTE#4,www.eglobalcentral.co.uk,battery,http:///www.eglobalcentral.co.uk/497,True,"1x en-el15 rechargeable lithium-ion battery pack, 7.0vdc, 1900mah",battery_chemistry,lithium,,
TARGETATTRIBUTE#4,www.canon-europe.com,batteries,http:///www.canon-europe.com/150,True,2x size-aa alkaline or ni-mh batteries (alkalines supplied),battery_chemistry,alkaline,,
TARGETATTRIBUTE#4,www.henrys.com,battery,http:///www.henrys.com/142,True,4 rechargeable en-mh2 nimh or 2 lr6/l40 (aa-size) alkaline or 2 fr6/l91 (aa-size) lithium,battery_chemistry,nimh,,
TARGETATTRIBUTE#4,cammarkt.com,battery type,http:///cammarkt.com/35,True,6 x aa batteries|proprietary lithium,battery_chemistry,lithium,,
TARGETATTRIBUTE#4,www.price-hunt.com,battery type,http:///www.price-hunt.com/903,True,aa alkaline battery,battery_chemistry,alkaline,,
TARGETATTRIBUTE#4,www.shopmania.in,battery,http:///www.shopmania.in/1376,True,li-ion,battery_chemistry,li-ion,,
TARGETATTRIBUTE#4,www.pricedekho.com,supplied battery,http:///www.pricedekho.com/1227,True,li-ion battery,battery_chemistry,li-ion,,
TARGETATTRIBUTE#4,www.ilgs.net,battery type,http:///www.ilgs.net/104,True,nb-6lh|lithium (nb-6lh),battery_chemistry,lithium,,
